@relation trainingdata

@attribute Word numeric
@attribute Len numeric
@attribute 2let {ча,во,че,нь,бо,до,но,ок,ек,дь,ат,ут,ин,ца,ур,аз,ка,са,ра,ия,ен,ор,ит,ац,нт,ив,зм,ст,ие,аж,рт,ий,ос,ис,ют,ть,ер,кт,рд,сс,уг,их,ль,ал,жа,нс,на,ик,рс,за,од,та,ла,оз,ан,як,ус,ез,аф,ом,ир,из,ав,уб,ол,рк,от,ет,ег,оп,да,ип,он,ва,ма,ша,ог,тр,ум,ул,ид,пт,ех,ес,яр,па,ям,ил,рг,нг,вт,ук,кр,ар,ын,тм,ах,нж,юр,ьд,ов,фа,ба,ак,ас,уф,ел,кс,об,аг,вр,им,ьм,фм,ло,оф,юс,аш,мб,иф,ош,рь,аб,ап,уз,лл,ще,иг,ык,ьт,юк,фт,ев,ща,бр,ля,ся,уд,ян,ам,га,иш,йн,ед,нк,ня,еж,еф,ич,ск,нд,йт,нн,ха,ыл,чь,рц,мс,кл,пс,го,жь,йс,иц,юз,яд,то,эр,шь,дж,тт,нх,еп,ем,ун,рш,ря,зь,сь,ьс,мп,це,яг,ад,иб,ох,юд,вь,хт,рп,фь,рн,щь,зг,ыв,зд,ыш,юб,ух,ув,яж,уч,еб,ец,рм,уп,пь,яз,лс,юн,ьф,йм,др,мм,рф,мн,вк,рх,яп,фр,пп,яш,ач,ят,ож,йв,ыз,йф,лк,уш,эт,нр,зл,зо,юх,гс,лп,мь,ьц,пф,йд,бь,ым,еш,юш,нч,юв,рж,юм,шт,нц,тч,ьн,хо,яс,же,эс,ях,см,яц,ро,ыс,ыт,лм,ып,гр,рв,вх,гм,эп,оч,мо,сг,ых,рл,бс,кк,ыг,мт,иж,ьк,нш,лт,йх,сл,рб,кх,ьп,йр,яб,гд,рч,зн,нм,ищ,ьб,ыр,йп,рз,мф,вн,йц,гт,дт,лд,юп,нз,йк,ыб,ял,йл,ёв,ея,эн,пр,лз,ыч,ая,дл,эк,ай,цк,яя,еч,уя,ти,ки,зи,си,ко,ни,лг,ье,цо,ли,ку,ьо,зе,ьи,ью,ру,ри,би,тс,фи,ду,те,оа,ао,по,еу,уи,хс,йз,дс,ке,ши,тл,ми,ья,не,иа,жи}
@attribute Gender {ж,с,мо,м,жо,мо-жо,со}
@attribute Class {4а,1с,8а,1а,3*а,3а,2а,5а,7а}

@data
96,11,ст,мо,1а
97,7,ал,м,1а
98,10,ра,ж,1а
99,8,жа,ж,4а
100,8,рт,м,1а
101,8,ст,м,1а
102,5,нс,м,1а
103,13,ие,с,7а
104,9,на,ж,1а
105,7,аж,м,4а
106,8,ра,ж,1а
107,10,зм,м,1а
108,9,ин,м,1а
109,10,ст,мо,1а
110,12,ка,жо,3*а
111,12,ть,ж,8а
112,11,ть,ж,8а
113,9,ик,мо,3а
114,6,ия,ж,7а
115,6,ка,жо,3*а
116,5,ит,м,1а
117,5,ур,мо,1а
118,6,ст,м,1а
119,7,ка,жо,3*а
120,5,рс,м,1а
121,8,за,ж,1а
122,10,ин,м,1а
123,12,нт,м,1а
124,13,ль,м,2а
125,10,нт,м,1а
126,9,од,м,1а
127,15,ор,мо,1а
128,9,ия,ж,7а
129,9,ка,ж,3*а
130,12,зм,м,1а
131,12,ст,мо,1а
132,10,ль,ж,8а
133,9,ор,м,1а
134,9,та,ж,1а
135,10,ор,м,1а
136,18,ть,ж,8а
137,12,ка,ж,3*а
138,12,ие,с,7а
139,13,ль,мо,2а
140,17,во,с,1а
141,10,ка,ж,3*а
142,10,ик,мо,3а
143,7,ор,мо,1а
144,13,рт,м,1а
145,10,са,ж,1а
146,7,ия,ж,7а
147,9,ла,ж,1а
148,7,ка,ж,3*а
149,10,оз,м,1а
150,8,на,ж,1а
151,7,ка,ж,3*а
152,5,ал,м,1а
153,5,ан,м,1а
154,6,ра,ж,1а
155,11,ка,жо,3*а
156,13,ек,мо,3а
157,9,ка,жо,3*а
158,8,як,мо,3а
159,10,ка,жо,3*а
160,8,ия,ж,7а
161,8,за,ж,1а
162,18,ть,ж,8а
163,13,ия,ж,7а
164,14,ка,ж,3*а
165,7,ус,м,1а
166,10,ик,мо,3а
167,11,на,ж,1а
168,10,ал,м,1а
169,9,ия,ж,7а
170,7,ен,м,1а
171,9,ез,м,1а
172,13,ор,м,1а
173,10,ик,мо,3а
174,10,оз,м,1а
175,11,ра,ж,1а
176,8,аф,м,1а
177,10,ия,ж,7а
178,10,кт,мо,1а
179,10,ие,с,7а
180,12,ик,мо,3а
181,11,на,ж,1а
182,8,ом,м,1а
183,7,ир,м,1а
184,9,од,м,1а
185,13,ик,м,3а
186,13,ор,мо,1а
187,13,ия,ж,7а
188,11,из,м,1а
189,11,ия,ж,7а
190,8,ав,м,1а
191,8,уб,м,1а
192,11,на,ж,1а
193,12,ат,м,1а
194,8,ан,м,1а
195,8,ат,мо,1а
196,10,ия,ж,7а
197,5,ол,м,1а
198,9,ка,ж,3*а
199,7,из,м,1а
200,14,ия,ж,7а
201,12,ль,мо,2а
202,16,во,с,1а
203,14,ль,ж,8а
204,7,ат,м,1а
205,13,ия,ж,7а
206,17,ие,с,7а
207,10,зм,м,1а
208,10,ка,ж,3а
209,14,ть,ж,8а
210,10,ик,мо,3а
211,11,ца,жо,5а
212,10,на,ж,1а
213,12,ст,м,1а
214,11,ик,мо,3а
215,18,ие,с,7а
216,19,ль,мо,2а
217,15,ия,ж,7а
218,12,зм,м,1а
219,12,ст,мо,1а
220,14,ка,жо,3*а
221,10,ль,м,2а
222,13,ик,м,3а
223,11,зм,м,1а
224,12,уб,м,1а
225,13,ла,ж,1а
226,11,са,ж,1а
227,10,ст,мо,1а
228,9,ия,ж,7а
229,12,ть,ж,8а
230,8,рк,м,3а
231,13,ка,ж,3*а
232,9,от,м,1а
233,12,ка,ж,3а
234,13,ик,м,3а
235,13,ик,м,3а
236,10,ка,ж,3*а
237,12,ка,ж,3*а
238,11,ет,м,1а
239,10,ег,м,3а
240,18,ть,ж,8а
241,5,ор,мо,1а
242,13,ор,м,1а
243,13,ик,мо,3а
244,11,ат,м,1а
245,16,ор,м,1а
246,11,ия,ж,7а
247,14,ть,ж,8а
248,9,ет,м,1а
249,14,ть,ж,8а
250,8,та,ж,1а
251,9,во,с,1а
252,9,ка,ж,3*а
253,10,ка,ж,3*а
254,11,ик,мо,3а
255,9,рт,м,1а
256,11,ия,ж,7а
257,8,оп,м,1а
258,10,да,ж,1а
259,12,ие,с,7а
260,13,ль,мо,2а
261,10,ка,ж,3*а
262,11,ка,ж,3*а
263,7,ип,м,1а
264,9,ия,ж,7а
265,9,ия,ж,7а
266,10,оз,м,1а
267,13,рт,м,1а
268,17,ор,м,1а
269,10,са,ж,1а
270,10,зм,м,1а
271,10,ст,мо,1а
272,12,ик,м,3а
273,10,он,м,1а
274,13,во,с,1а
275,8,ом,м,1а
276,8,он,мо,1а
277,8,он,м,1а
278,12,на,ж,1а
279,9,ла,ж,1а
280,11,ан,м,1а
281,5,ва,ж,1а
282,6,ит,м,1а
283,12,ит,м,1а
284,5,ма,жо,1а
285,6,ия,ж,7а
286,10,ия,ж,7а
287,4,ат,м,1а
288,17,ть,ж,8а
289,12,ия,ж,7а
290,10,ин,м,1а
291,10,ия,ж,7а
292,5,нт,мо,1а
293,5,нт,м,1а
294,9,во,с,1а
295,8,ра,ж,1а
296,10,ия,ж,7а
297,9,ия,ж,7а
298,8,ор,мо,1а
299,10,ша,жо,4а
300,8,ия,ж,7а
301,11,да,ж,1а
302,6,ка,ж,3*а
303,12,ия,ж,7а
304,8,оп,м,1а
305,9,кт,м,1а
306,9,ат,м,1а
307,12,ик,мо,3а
308,11,ия,ж,7а
309,5,ат,мо,1а
310,7,ия,ж,7а
311,8,ик,мо,3а
312,11,зм,м,1а
313,6,ия,ж,7а
314,10,ия,ж,7а
315,8,нт,м,1а
316,7,ий,мо,7а
317,8,ик,мо,3а
318,5,аф,м,1а
319,7,ия,ж,7а
320,7,ат,м,1а
321,7,ан,м,1а
322,13,ть,ж,8а
323,8,ия,ж,7а
324,8,ор,мо,1а
325,12,ра,ж,1а
326,8,за,ж,1а
327,10,ог,мо,3а
328,12,ия,ж,7а
329,12,ка,ж,3а
330,14,ка,ж,3а
331,14,ия,ж,7а
332,14,ог,мо,3а
333,16,ия,ж,7а
334,8,тр,м,1а
335,11,ум,м,1а
336,7,ом,мо,1а
337,9,ия,ж,7а
338,9,ша,жо,4а
339,9,кт,м,1а
340,10,ик,мо,3а
341,11,ка,ж,3а
342,10,ка,ж,3а
343,9,ик,мо,3а
344,9,ия,ж,7а
345,9,ла,ж,1а
346,4,ул,мо,1а
347,6,ин,м,1а
348,7,нт,м,1а
349,6,ит,мо,1а
350,7,ит,м,1а
351,7,ия,жо,7а
352,9,ия,ж,7а
353,7,ер,м,1а
354,10,тр,м,1а
355,4,ат,м,1а
356,8,ия,ж,7а
357,9,ст,мо,1а
358,15,ия,ж,7а
359,7,ат,мо,1а
360,11,во,с,1а
361,10,ра,ж,1а
362,8,ор,м,1а
363,8,ия,ж,7а
364,12,ть,ж,8а
365,6,ит,м,1а
366,7,ид,м,1а
367,7,ма,ж,1а
368,5,пт,мо,1а
369,7,ин,м,1а
370,4,ех,мо,3а
371,7,ка,жо,3*а
372,6,ка,ж,3а
373,8,та,ж,1а
374,8,ия,ж,7а
375,13,ор,мо,1а
376,17,во,с,1а
377,15,ша,жо,4а
378,13,ия,ж,7а
379,17,ие,с,7а
380,7,ал,мо,1а
381,14,во,с,1а
382,12,во,с,1а
383,10,ша,жо,4а
384,8,ид,м,1а
385,8,ен,м,1а
386,6,ис,м,1а
387,9,ия,ж,7а
388,8,ия,ж,7а
389,9,ин,м,1а
390,5,ес,м,1а
391,8,нт,мо,1а
392,7,ат,мо,1а
393,9,ек,м,3*а
394,9,нт,м,1а
395,8,ер,м,1а
396,9,ия,ж,7а
397,7,ат,м,1а
398,6,яр,м,1а
399,8,ия,ж,7а
400,8,ка,жо,3*а
401,12,ия,ж,7а
402,7,кт,мо,1а
403,11,во,с,1а
404,10,ра,ж,1а
405,8,нт,мо,1а
406,12,во,с,1а
407,8,ер,м,1а
408,5,он,м,1а
409,7,аж,м,4а
410,8,ия,ж,7а
411,4,ур,м,1а
412,9,ка,жо,3*а
413,7,ик,мо,3а
414,9,ть,ж,8а
415,6,ия,ж,7а
416,6,ин,м,1а
417,5,рт,м,1а
418,10,ть,ж,8а
419,6,ка,ж,3а
420,10,ик,м,3а
421,7,ка,ж,3*а
422,10,ть,ж,8а
423,13,ка,жо,3*а
424,10,на,ж,1а
425,5,ат,мо,1а
426,7,ка,жо,3*а
427,9,на,ж,1а
428,4,ид,м,1а
429,6,ут,м,1а
430,9,ол,м,1а
431,9,па,ж,1а
432,11,ия,ж,7а
433,4,от,м,1а
434,8,ия,ж,7а
435,10,ия,ж,7а
436,13,ин,м,1а
437,8,ен,м,1а
438,8,ка,ж,3*а
439,4,ур,м,1а
440,6,ит,м,1а
441,4,ям,м,1а
442,3,ил,м,1а
443,4,ст,мо,1а
444,7,ик,м,3а
445,6,нт,м,1а
446,5,ан,м,1а
447,5,ол,м,1а
448,7,рг,м,3а
449,5,ор,мо,1а
450,7,ка,жо,3*а
451,9,зм,м,1а
452,8,ик,мо,3а
453,9,ст,мо,1а
454,13,ть,ж,8а
455,8,ия,ж,7а
456,7,да,жо,1а
457,7,ст,м,1а
458,6,ия,ж,7а
459,8,нг,м,3а
460,11,ст,мо,1а
461,13,ка,жо,3*а
462,9,ин,м,1а
463,8,вт,мо,1а
464,10,ст,мо,1а
465,12,ка,жо,3*а
466,8,ль,ж,8а
467,10,ка,ж,3*а
468,8,ум,м,1а
469,9,та,ж,1а
470,9,ия,ж,7а
471,9,ия,ж,7а
472,11,ст,мо,1а
473,7,ук,м,3а
474,9,ор,мо,1а
475,9,ия,ж,7а
476,7,он,м,1а
477,14,ия,ж,7а
478,18,ие,с,7а
479,8,да,ж,1а
480,11,ия,ж,7а
481,13,нт,м,1а
482,13,ор,мо,1а
483,15,ша,жо,4а
484,16,ие,с,7а
485,6,рд,м,1а
486,9,он,м,1а
487,12,ст,мо,1а
488,14,ка,жо,3*а
489,10,ив,м,1а
490,14,ие,с,7а
491,9,ив,м,1а
492,15,ие,с,7а
493,11,ор,м,1а
494,14,ик,мо,3а
495,11,ия,ж,7а
496,10,ст,мо,1а
497,12,ть,ж,8а
498,7,зм,м,1а
499,7,ст,мо,1а
500,9,ка,жо,3*а
501,6,ит,м,1а
502,8,ин,м,1а
503,3,кр,м,1а
504,7,ия,ж,7а
505,7,ин,м,1а
506,7,ин,м,1а
507,7,ат,мо,1а
508,10,зм,м,1а
509,10,ка,ж,3а
510,14,ть,ж,8а
511,9,ка,жо,3*а
512,11,во,с,1а
513,8,ин,м,1а
514,11,ия,ж,7а
515,8,ль,м,2а
516,8,их,м,3а
517,7,ал,мо,1а
518,7,ит,м,1а
519,11,ор,м,1а
520,12,тр,м,1а
521,10,нт,м,1а
522,10,ол,м,1а
523,9,ар,м,1а
524,7,ма,ж,1а
525,11,ка,ж,3а
526,9,тр,м,1а
527,9,ль,мо,2а
528,5,он,м,1а
529,12,ия,ж,7а
530,3,кт,м,1а
531,6,нт,м,1а
532,7,ия,ж,7а
533,5,ер,мо,1а
534,9,ка,мо-жо,3*а
535,7,ка,жо,3*а
536,9,во,с,1а
537,5,ив,м,1а
538,9,ор,м,1а
539,9,ия,ж,7а
540,11,ия,ж,7а
541,8,ст,мо,1а
542,10,ка,жо,3*а
543,10,ть,ж,8а
544,5,ин,м,1а
545,9,ия,ж,7а
546,7,ий,м,7а
547,7,ия,жо,7а
548,10,тр,м,1а
549,12,ия,ж,7а
550,7,он,м,1а
551,13,ия,ж,7а
552,11,ие,с,7а
553,7,са,жо,1а
554,12,ия,ж,7а
555,12,ть,ж,8а
556,8,ий,мо,7а
557,9,ус,мо,1а
558,5,ла,жо,1а
559,7,ик,мо,3а
560,8,ка,ж,3а
561,4,ут,м,1а
562,8,ка,жо,3*а
563,10,во,с,1а
564,6,нт,м,1а
565,14,ие,с,7а
566,12,ка,ж,3*а
567,12,ия,ж,7а
568,11,ия,ж,7а
569,6,пт,м,1а
570,9,нт,мо,1а
571,10,ия,ж,7а
572,8,ор,м,1а
573,8,ия,ж,7а
574,10,ия,ж,7а
575,5,из,м,1а
576,8,ер,мо,1а
577,10,ка,жо,3*а
578,5,ия,ж,7а
579,4,ын,мо,1а
580,8,ст,мо,1а
581,7,ка,жо,3*а
582,7,ра,ж,1а
583,10,ст,мо,1а
584,8,тм,м,1а
585,8,да,ж,1а
586,10,ик,мо,3а
587,8,тр,м,1а
588,7,ит,м,1а
589,9,ит,м,1а
590,9,ия,ж,7а
591,10,тр,м,1а
592,7,он,м,1а
593,11,ит,м,1а
594,7,ин,м,1а
595,6,ан,мо,1а
596,6,ка,жо,3*а
597,5,ут,мо,1а
598,7,ка,жо,3*а
599,7,ка,жо,3*а
600,7,да,ж,1а
601,8,ин,м,1а
602,10,ик,мо,3а
603,11,ца,жо,5а
604,9,ор,м,1а
605,11,ия,ж,7а
606,12,ия,ж,7а
607,7,оз,м,1а
608,8,ид,м,1а
609,13,ия,ж,7а
610,10,зм,м,1а
611,9,ик,мо,3а
612,14,ия,ж,7а
613,11,ка,жо,3*а
614,8,ль,м,2а
615,8,ст,мо,1а
616,7,ан,м,1а
617,5,ах,мо,3а
618,10,зм,м,1а
619,14,ть,ж,8а
620,9,ия,ж,7а
621,7,ка,ж,3*а
622,6,ль,ж,8а
623,8,ен,м,1а
624,8,ия,ж,7а
625,9,ор,мо,1а
626,9,ия,ж,7а
627,10,ик,мо,3а
628,11,на,ж,1а
629,11,ия,ж,7а
630,7,ин,м,1а
631,5,од,м,1а
632,6,нж,м,4а
633,7,ат,мо,1а
634,9,ия,ж,7а
635,8,оп,м,1а
636,10,ия,ж,7а
637,7,он,м,1а
638,8,он,мо,1а
639,8,он,м,1а
640,7,ий,м,7а
641,7,ия,ж,7а
642,5,юр,м,1а
643,5,аз,м,1а
644,16,ль,м,2а
645,7,зм,м,1а
646,11,ть,ж,8а
647,7,ст,мо,1а
648,7,ка,жо,3*а
649,5,ын,м,1а
650,8,ик,мо,3а
651,7,ит,м,1а
652,7,ик,мо,3а
653,7,ия,ж,7а
654,8,ть,ж,8а
655,9,ос,мо,1а
656,8,ум,м,1а
657,9,зм,м,1а
658,8,ос,мо,1а
659,10,ка,жо,3*а
660,6,ит,м,1а
661,6,ом,м,1а
662,9,ик,м,3а
663,9,да,ж,1а
664,8,ин,м,1а
665,12,ия,ж,7а
666,8,ид,м,1а
667,8,ла,ж,1а
668,9,ил,мо,1а
669,6,ин,м,1а
670,10,ия,ж,7а
671,8,ид,м,1а
672,8,ьд,мо,1а
673,6,ов,м,1а
674,9,ва,ж,1а
675,8,ах,м,3а
676,11,ик,мо,3а
677,9,ин,м,1а
678,13,ат,м,1а
679,10,ок,м,3а
680,10,да,ж,1а
681,9,зм,м,1а
682,9,ст,мо,1а
683,11,ка,жо,3*а
684,10,ут,м,1а
685,10,ия,ж,7а
686,12,ва,ж,1а
687,16,ть,ж,8а
688,11,ор,м,1а
689,11,ия,ж,7а
690,9,тр,м,1а
691,11,ия,ж,7а
692,7,нг,м,3а
693,7,ст,мо,1а
694,9,ка,жо,3*а
695,9,да,ж,1а
696,9,зм,м,1а
697,9,ст,мо,1а
698,16,ть,ж,8а
699,11,ка,жо,3*а
700,5,фа,ж,1а
701,7,нс,мо,1а
702,6,нс,м,1а
703,8,ат,м,1а
704,8,ий,м,7а
705,8,он,м,1а
706,13,ия,ж,7а
707,12,ат,м,1а
708,12,ть,ж,8а
709,8,ит,м,1а
710,8,ка,ж,3*а
711,9,ма,ж,1а
712,12,ор,м,1а
713,12,ия,ж,7а
714,16,ие,с,7а
715,6,ат,мо,1а
716,7,нт,м,1а
717,9,ис,м,1а
718,6,ер,мо,1а
719,8,ка,жо,3*а
720,5,ар,м,1а
721,8,ик,мо,3а
722,7,ия,ж,7а
723,10,ма,жо,1а
724,5,ра,ж,1а
725,9,ра,ж,1а
726,8,ия,ж,7а
727,11,ия,ж,7а
728,7,юр,м,1а
729,5,он,м,1а
730,5,ба,жо,1а
731,8,ит,м,1а
732,11,ия,ж,7а
733,14,ия,ж,7а
734,11,зм,м,1а
735,11,ст,мо,1а
736,14,ка,ж,3а
737,8,ий,м,7а
738,7,ст,м,1а
739,9,ия,ж,7а
740,6,нт,м,1а
741,6,ол,м,1а
742,10,ин,м,1а
743,12,во,с,1а
744,7,он,м,1а
745,7,за,ж,1а
746,10,ат,м,1а
747,6,ен,м,1а
748,7,за,ж,1а
749,7,ид,м,1а
750,4,ин,м,1а
751,11,па,ж,1а
752,6,ис,м,1а
753,6,оз,м,1а
754,4,ия,жо,7а
755,6,ак,м,3а
756,8,ат,м,1а
757,7,ал,м,1а
758,8,ак,м,3а
759,7,ий,м,7а
760,7,ит,мо,1а
761,7,ит,м,1а
762,7,ит,м,1а
763,13,ия,ж,7а
764,7,ос,м,1а
765,7,ия,ж,7а
766,6,он,м,1а
767,6,от,мо,1а
768,14,ие,с,7а
769,8,ия,ж,7а
770,9,зм,м,1а
771,12,ть,ж,8а
772,11,ор,м,1а
773,11,ия,ж,7а
774,13,ия,ж,7а
775,8,зм,м,1а
776,10,ть,ж,8а
777,12,ия,ж,7а
778,11,ия,ж,7а
779,13,ия,ж,7а
780,14,тр,м,1а
781,9,тр,м,1а
782,5,ир,м,1а
783,8,ин,м,1а
784,9,да,ж,1а
785,12,ия,ж,7а
786,6,ла,ж,1а
787,7,ка,ж,3*а
788,10,ца,жо,5а
789,9,ия,ж,7а
790,6,ет,м,1а
791,8,ия,ж,7а
792,4,ур,мо,1а
793,7,ия,жо,7а
794,7,ол,м,1а
795,9,ит,м,1а
796,9,ия,ж,7а
797,10,ий,м,7а
798,7,од,мо,1а
799,9,тр,м,1а
800,9,он,мо,1а
801,6,ра,ж,1а
802,8,ин,м,1а
803,10,зм,м,1а
804,10,ст,мо,1а
805,12,ка,жо,3*а
806,6,ас,мо,1а
807,7,оз,м,1а
808,9,зм,м,1а
809,8,ия,ж,7а
810,9,ма,ж,1а
811,8,уф,м,1а
812,8,да,жо,1а
813,12,ка,ж,3а
814,8,за,ж,1а
815,6,из,м,1а
816,10,ор,м,1а
817,8,ик,мо,3а
818,9,ка,ж,3а
819,6,ог,м,3а
820,13,ть,ж,8а
821,8,ия,ж,7а
822,10,ия,ж,7а
823,8,ия,ж,7а
824,7,ез,м,1а
825,10,зм,м,1а
826,9,оз,м,1а
827,6,ас,м,1а
828,7,ст,м,1а
829,10,оз,м,1а
830,8,зм,м,1а
831,8,ст,мо,1а
832,10,ка,жо,3*а
833,12,ть,ж,8а
834,7,ия,ж,7а
835,10,ат,м,1а
836,13,зм,м,1а
837,9,оз,м,1а
838,9,ин,м,1а
839,6,ом,мо,1а
840,14,ие,с,7а
841,10,ка,ж,3*а
842,8,ия,ж,7а
843,9,зм,м,1а
844,7,за,ж,1а
845,7,ма,ж,1а
846,11,ия,ж,7а
847,7,ра,ж,1а
848,8,ез,м,1а
849,8,ет,мо,1а
850,10,зм,м,1а
851,14,ть,ж,8а
852,10,оз,м,1а
853,10,нт,м,1а
854,13,ие,с,7а
855,11,ка,ж,3*а
856,5,ар,м,1а
857,5,ел,мо,1а
858,9,ек,мо,3*а
859,8,ид,м,1а
860,8,ит,м,1а
861,6,на,ж,1а
862,11,ия,ж,7а
863,10,ия,ж,7а
864,7,ма,ж,1а
865,6,ез,м,1а
866,8,ит,м,1а
867,12,во,с,1а
868,9,зм,м,1а
869,8,ан,мо,1а
870,10,ия,ж,7а
871,10,ка,жо,3*а
872,12,во,с,1а
873,9,кс,мо,1а
874,8,ил,мо,1а
875,13,во,с,1а
876,8,об,мо,1а
877,10,ия,ж,7а
878,12,во,с,1а
879,5,об,м,1а
880,9,ит,м,1а
881,7,ин,м,1а
882,7,ит,м,1а
883,10,ия,ж,7а
884,8,аг,мо,3а
885,10,ия,ж,7а
886,7,ин,м,1а
887,7,от,м,1а
888,10,ст,мо,1а
889,14,ть,ж,8а
890,11,ть,ж,8а
891,6,ия,ж,7а
892,9,аф,м,1а
893,9,тр,м,1а
894,11,ия,ж,7а
895,9,оп,м,1а
896,10,ия,ж,7а
897,7,ия,ж,7а
898,7,ид,м,1а
899,9,ин,м,1а
900,12,ог,мо,3а
901,14,ия,ж,7а
902,9,ия,ж,7а
903,6,ол,м,1а
904,7,ин,м,1а
905,10,ия,ж,7а
906,6,ол,м,1а
907,11,ия,ж,7а
908,6,ин,м,1а
909,12,ия,ж,7а
910,9,зм,м,1а
911,9,ст,мо,1а
912,7,зм,м,1а
913,7,ст,мо,1а
914,5,он,м,1а
915,4,ис,м,1а
916,8,ка,ж,3*а
917,7,ит,м,1а
918,6,та,ж,1а
919,7,оз,м,1а
920,10,вр,мо,1а
921,11,ма,жо,1а
922,12,оз,м,1а
923,6,ав,м,1а
924,8,ст,мо,1а
925,7,ит,мо,1а
926,12,ст,мо,1а
927,8,ия,ж,7а
