@relation 'trainingnumbers.verb-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-Rfirst,last,2'

@attribute Word numeric
@attribute 5let {овать,ичать,йкать,акать,аться,алеть,еться,лкать,ывать,укать,ахать,оветь,янеть,ацать,юкать,баять,егать,днеть,елеть,енеть,икать,ивать,евать,ухать,леять,стать,ждать,атеть,одать,олеть,лтать,осать,згать,ыкать,якать,яцать,ькать,уреть,ркать,алять,яться,ирать,ргать,ерять,язать,ибать,онять,игать,елать,ыхать,едать,нчать,треть,тшать,ереть,ешать,ещать,веять,имать,адать,ожать,увать,умать,ымать,езать,етать,окать,здать,преть,слеть,ыдать,зжать,грать,идать,илять,итать,хлять,апать,атать,ачать,епать,адеть,жнеть,ипать,лиять,япать,азать,инать,екать,агать,чтать,ужать,ыметь,очать,ицать,есать,лнять,ылать,сиять,ищать,паять,тлять,ихать,ягать,ядать,скать,утать,ащать,сеять,исать,ебать,отеть,ыпать,иветь,орать,ызать,улять,орять,елять,олять,знать,зреть,ябать,шлять,ючать,ырять,упать,мсать,глять,усать,ушать,изать,инять,арать,енять,рзать,огать,юхать,чкать,ясать,ытать,убать,угать,учать,меять,спеть,таять,снять,рпать,слять,вкать,олать,азеть,отать,упеть,убеть,опать,раять,охать,знеть,тнеть,мкать,стеть,рнеть,еветь,бреть,влеть,ылять,лбать,лжать,ажать,тлеть,ыгать,хлеть,южеть,лтеть,иреть,влять,асать,иметь,снеть,хтать,аветь,лаять,маять,длять,рцать,ирять,млеть,мшеть,еметь,енать,рхать,авать,лзать,ятать,пхать,тнать,рдеть,реять,обеть,ежеть,длать,инеть,ареть,мнеть,теять,яветь,хаять,илеть,юпать,одеть,омать,удать,тветь,чуять,зиять,злеть,блять,ваять,ьчать,ощать,млать,пчать,глеть,пнеть,гчать,ысеть,ютеть,рзеть,шкать,чнеть,юдать,ореть,плять,ртать,чхать,лдеть,осеть,есеть,юдеть,очеть,ожеть,ыбеть,уметь,ятеть,днять,анеть,млять,усеть,брять,блеть,урять,унать,удеть,ошать,длеть,ылеть,шлеть,вдать,епеть,рчать,абеть,клеть,ртеть,опеть,зветь,ыреть,аметь,ометь,ечать,птать,обать,внять,идеть,ймать,лнеть,едеть,ыжеть,ябеть,сметь,плеть,кнеть,жнять,ошеть,ьшать,арять,изеть,деять,онеть,ытеть,ишать,ьнять,юметь,чшать,дшать,чаять,ыбать,ндать,драть,юнеть}
@attribute Class {2а,1а,6а}

@data
151,овать,2а
152,овать,2а
153,овать,2а
154,овать,2а
155,овать,2а
156,овать,2а
157,аться,1а
158,ькать,1а
159,овать,2а
160,овать,2а
161,аться,2а
162,уреть,1а
163,ркать,1а
164,овать,2а
165,ухать,1а
166,аться,1а
167,евать,2а
168,ывать,1а
169,овать,2а
170,якать,1а
171,ивать,1а
172,ичать,1а
173,аться,1а
174,овать,2а
175,евать,2а
176,алять,1а
177,яться,1а
178,овать,2а
179,аться,2а
180,егать,1а
181,ивать,1а
182,ирать,1а
183,аться,1а
184,ухать,1а
185,аться,1а
186,ргать,1а
187,аться,1а
188,стать,1а
189,ывать,1а
190,ерять,1а
191,яться,1а
192,ивать,1а
193,язать,1а
194,ибать,1а
195,аться,1а
196,онять,1а
197,аться,1а
198,ивать,1а
199,игать,1а
200,аться,1а
201,евать,1а
202,аться,1а
203,елать,1а
204,ывать,1а
205,ивать,1а
206,оветь,1а
207,овать,2а
208,аться,1а
209,аться,1а
210,ыхать,1а
211,овать,2а
212,едать,1а
213,енеть,1а
214,овать,2а
215,овать,2а
216,ичать,1а
217,ичать,1а
218,аться,1а
219,овать,2а
220,нчать,1а
221,нчать,1а
222,аться,1а
223,овать,2а
224,овать,2а
225,овать,2а
226,стать,1а
227,ичать,1а
228,овать,2а
229,ичать,1а
230,елеть,1а
231,енеть,1а
232,ичать,1а
233,треть,1а
234,треть,1а
235,тшать,1а
236,ереть,1а
237,ерять,1а
238,ешать,1а
239,аться,1а
240,ещать,1а
241,веять,6а
242,аться,1а
243,имать,1а
244,аться,1а
245,овать,2а
246,лкать,1а
247,ивать,1а
248,ывать,1а
249,егать,1а
250,ивать,1а
251,аться,1а
252,аться,1а
253,ивать,1а
254,овать,2а
255,ивать,1а
256,ивать,1а
257,аться,1а
258,овать,2а
259,аться,2а
260,ухать,1а
261,евать,2а
262,аться,2а
263,евать,1а
264,аться,1а
265,веять,6а
266,яться,6а
267,ивать,1а
268,аться,1а
269,ивать,1а
270,овать,2а
271,аться,2а
272,ывать,1а
273,адать,1а
274,ывать,1а
275,евать,1а
276,ждать,1а
277,евать,1а
278,ивать,1а
279,аться,1а
280,ожать,1а
281,ивать,1а
282,увать,1а
283,аться,1а
284,умать,1а
285,аться,1а
286,ымать,1а
287,аться,1а
288,ыхать,1а
289,имать,1а
290,ирать,1а
291,ивать,1а
292,ывать,1а
293,езать,1а
294,леять,6а
295,евать,2а
296,етать,1а
297,ывать,1а
298,окать,1а
299,ывать,1а
300,ивать,1а
301,аться,1а
302,здать,1а
303,преть,1а
304,стать,1а
305,овать,2а
306,слеть,1а
307,ывать,1а
308,ывать,1а
309,аться,1а
310,ыдать,1а
311,аться,1а
312,зжать,1а
313,ивать,1а
314,аться,1а
315,ывать,1а
316,грать,1а
317,аться,1а
318,ичать,1а
319,овать,2а
320,идать,1а
321,аться,1а
322,еться,1а
323,ывать,1а
324,овать,2а
325,илять,1а
326,овать,2а
327,овать,2а
328,ичать,1а
329,овать,2а
330,итать,1а
331,овать,2а
332,хлять,1а
333,яться,1а
334,ывать,1а
335,ывать,1а
336,аться,1а
337,апать,1а
338,ывать,1а
339,аться,1а
340,аться,1а
341,аться,1а
342,атать,1а
343,ывать,1а
344,ывать,1а
345,ачать,1а
346,аться,1а
347,идать,1а
348,ивать,1а
349,аться,1а
350,епать,1а
351,ивать,1а
352,аться,1а
353,ывать,1а
354,аться,1а
355,адеть,1а
356,овать,2а
357,жнеть,1а
358,аться,1а
359,овать,2а
360,езать,1а
361,ивать,1а
362,аться,1а
363,ипать,1а
364,лиять,1а
365,аться,1а
366,аться,1а
367,япать,1а
368,аться,1а
369,ывать,1а
370,аться,1а
371,азать,6а
372,ывать,1а
373,етать,1а
374,етать,1а
375,ешать,1а
376,аться,1а
377,ивать,1а
378,ивать,1а
379,инать,1а
380,аться,1а
381,овать,2а
382,овать,2а
383,ывать,1а
384,икать,1а
385,имать,1а
386,аться,1а
387,аться,1а
388,екать,1а
389,аться,1а
390,енеть,1а
391,евать,2а
392,елеть,1а
393,аться,1а
394,стать,1а
395,яться,1а
396,ивать,1а
397,аться,1а
398,онять,1а
399,игать,1а
400,аться,1а
401,евать,1а
402,елать,1а
403,ывать,1а
404,ымать,1а
405,аться,1а
406,ыхать,1а
407,елать,1а
408,игать,1а
409,аться,1а
410,агать,1а
411,егать,1а
412,ивать,1а
413,овать,2а
414,чтать,1а
415,ужать,1а
416,аться,1а
417,овать,2а
418,икать,1а
419,адать,1а
420,аться,2а
421,стать,1а
422,овать,2а
423,ыдать,1а
424,ыметь,1а
425,овать,2а
426,овать,2а
427,аться,2а
428,атеть,1а
429,овать,2а
430,ичать,1а
431,ичать,1а
432,овать,2а
433,овать,2а
434,онять,1а
435,аться,1а
436,овать,2а
437,овать,2а
438,очать,1а
439,аться,1а
440,овать,2а
441,ицать,1а
442,есать,1а
443,евать,1а
444,итать,1а
445,аться,1а
446,лнять,1а
447,яться,1а
448,аться,2а
449,инать,1а
450,овать,2а
451,овать,2а
452,аться,1а
453,имать,1а
454,ылать,1а
455,едать,1а
456,едать,1а
457,сиять,1а
458,ылать,1а
459,ргать,1а
460,аться,1а
461,овать,2а
462,овать,2а
463,ищать,1а
464,ищать,1а
465,овать,2а
466,овать,2а
467,адать,1а
468,ивать,1а
469,ивать,1а
470,ивать,1а
471,паять,1а
472,екать,1а
473,тлять,1а
474,ивать,1а
475,аться,1а
476,ирать,1а
477,аться,1а
478,итать,1а
479,аться,1а
480,ихать,1а
481,аться,1а
482,ивать,1а
483,ывать,1а
484,овать,2а
485,ывать,1а
486,ивать,1а
487,ивать,1а
488,ягать,1а
489,аться,1а
490,ядать,1а
491,скать,1а
492,утать,1а
493,аться,1а
494,ывать,1а
495,аться,1а
496,ивать,1а
497,аться,1а
498,овать,2а
499,стать,1а
500,евать,2а
501,ащать,1а
502,аться,1а
503,овать,2а
504,ывать,1а
505,аться,1а
506,аться,1а
507,евать,1а
508,сеять,6а
509,ивать,1а
510,ивать,1а
511,аться,1а
512,аться,1а
513,ывать,1а
514,аться,1а
515,исать,1а
516,ивать,1а
517,аться,1а
518,ивать,1а
519,аться,1а
520,ебать,6а
521,аться,6а
522,ыхать,1а
523,аться,1а
524,ивать,1а
525,аться,1а
526,ивать,1а
527,ывать,1а
528,аться,1а
529,ивать,1а
530,аться,1а
531,аться,1а
532,ивать,1а
533,ивать,1а
534,ывать,1а
535,ивать,1а
536,аться,1а
537,ивать,1а
538,ывать,1а
539,ивать,1а
540,аться,1а
541,овать,2а
542,отеть,1а
543,ивать,1а
544,ивать,1а
545,аться,1а
546,ухать,1а
547,ивать,1а
548,аться,1а
549,ивать,1а
550,евать,1а
551,аться,1а
552,ывать,1а
553,ывать,1а
554,ыпать,1а
555,скать,1а
556,овать,2а
557,ывать,1а
558,ачать,1а
559,екать,1а
560,ивать,1а
561,аться,1а
562,ирать,1а
563,аться,1а
564,скать,1а
565,аться,1а
566,овать,2а
567,ывать,1а
568,аться,1а
569,овать,2а
570,ывать,1а
571,аться,1а
572,ыкать,1а
573,аться,1а
574,ивать,1а
575,аться,1а
576,аться,1а
577,аться,1а
578,овать,2а
579,аться,1а
580,аться,2а
581,ибать,1а
582,ивать,1а
583,иветь,1а
584,аться,1а
585,зжать,1а
586,ывать,1а
587,егать,1а
588,егать,1а
589,аться,1а
590,ивать,1а
591,аться,1а
592,ивать,1а
593,аться,1а
594,ирать,1а
595,аться,1а
596,аться,1а
597,овать,2а
598,ывать,1а
599,ивать,1а
600,аться,1а
601,овать,2а
602,згать,1а
603,ивать,1а
604,овать,2а
605,ивать,1а
606,ухать,1а
607,ивать,1а
608,ивать,1а
609,ывать,1а
610,ивать,1а
611,ивать,1а
612,аться,1а
613,аться,1а
614,алять,1а
615,яться,1а
616,ивать,1а
617,аться,1а
618,едать,1а
619,ивать,1а
620,ывать,1а
621,ивать,1а
622,аться,1а
623,ивать,1а
624,ерять,1а
625,ивать,1а
626,аться,1а
627,ивать,1а
628,веять,6а
629,яться,6а
630,ивать,1а
631,ивать,1а
632,язать,6а
633,ывать,1а
634,ивать,1а
635,аться,1а
636,адать,1а
637,ывать,1а
638,ибать,1а
639,аться,1а
640,ывать,1а
641,ывать,1а
642,ивать,1а
643,онять,1а
644,орать,1а
645,овать,2а
646,ивать,1а
647,ызать,1а
648,ивать,1а
649,аться,1а
650,улять,1а
651,яться,1а
652,игать,1а
653,аться,1а
654,орять,1а
655,елать,1а
656,ывать,1а
657,елять,1а
658,яться,1а
659,аться,1а
660,ивать,1а
661,аться,1а
662,ирать,1а
663,аться,1а
664,ивать,1а
665,овать,2а
666,аться,2а
667,увать,1а
668,умать,1а
669,ывать,1а
670,ыхать,1а
671,аться,1а
672,едать,1а
673,зжать,1а
674,ивать,1а
675,аться,1а
676,ивать,1а
677,ивать,1а
678,игать,1а
679,идать,1а
680,имать,1а
681,аться,1а
682,инать,1а
683,ирать,1а
684,олять,1а
685,ивать,1а
686,оветь,1а
687,овать,2а
688,знать,1а
689,евать,1а
690,зреть,1а
691,ивать,1а
692,ывать,1а
693,аться,1а
694,ябать,1а
695,грать,1а
696,аться,1а
697,ывать,1а
698,аться,1а
699,аться,6а
700,ивать,1а
701,аться,1а
702,азать,6а
703,ывать,1а
704,ивать,1а
705,ывать,1а
706,ивать,1а
707,ивать,1а
708,аться,1а
709,аться,1а
710,атать,1а
711,аться,1а
712,ывать,1а
713,ывать,1а
714,аться,1а
715,аться,1а
716,ыкать,1а
717,ачать,1а
718,ивать,1а
719,шлять,1а
720,яться,1а
721,идать,1а
722,ывать,1а
723,аться,1а
724,исать,1а
725,ывать,1а
726,аться,1а
727,ивать,1а
728,аться,1а
729,ывать,1а
730,аться,1а
731,ючать,1а
732,аться,1а
733,ивать,1а
734,овать,2а
735,аться,2а
736,ывать,1а
737,аться,1а
738,ырять,1а
739,упать,1а
740,ывать,1а
741,ывать,1а
742,аться,1а
743,ивать,1а
744,ивать,1а
745,ивать,1а
746,аться,1а
747,аться,1а
748,ивать,1а
749,овать,2а
750,аться,2а
751,ывать,1а
752,аться,1а
753,мсать,1а
754,глять,1а
755,ывать,1а
756,ивать,1а
757,аться,1а
758,овать,2а
759,упать,1а
760,упать,1а
761,аться,1а
762,аться,1а
763,ивать,1а
764,аться,1а
765,усать,1а
766,ушать,1а
767,овать,2а
768,акать,1а
769,ывать,1а
770,аться,1а
771,ивать,1а
772,аться,1а
773,ивать,1а
774,аться,1а
775,ивать,1а
776,аться,1а
777,изать,6а
778,аться,6а
779,ывать,1а
780,аться,1а
781,инять,1а
782,ивать,1а
783,ывать,1а
784,аться,1а
785,акать,1а
786,ывать,1а
787,ывать,1а
788,аться,1а
789,ивать,1а
790,арать,1а
791,аться,1а
792,ывать,1а
793,аться,1а
794,ахать,1а
795,ивать,1а
796,ивать,1а
797,ывать,1а
798,аться,1а
799,ивать,1а
800,енять,1а
801,рзать,1а
802,аться,1а
803,ывать,1а
804,аться,1а
805,ешать,1а
806,ивать,1а
807,ивать,1а
808,инать,1а
809,ирать,1а
810,огать,1а
811,окать,1а
812,ивать,1а
813,овать,2а
814,аться,2а
815,ывать,1а
816,аться,1а
817,ивать,1а
818,аться,1а
819,шлять,1а
820,изать,6а
821,ывать,1а
822,имать,1а
823,аться,1а
824,ивать,1а
825,юхать,1а
826,ивать,1а
827,ивать,1а
828,адать,1а
829,ивать,1а
830,ивать,1а
831,аться,1а
832,ивать,1а
833,ывать,1а
834,ивать,1а
835,аться,1а
836,ывать,1а
837,аться,1а
838,ахать,6а
839,аться,6а
840,ивать,1а
841,аться,1а
842,чкать,1а
843,аться,1а
844,паять,1а
845,яться,1а
846,евать,1а
847,екать,1а
848,аться,1а
849,аться,1а
850,овать,2а
851,ивать,1а
852,ивать,1а
853,ивать,1а
854,ирать,1а
855,исать,6а
856,аться,6а
857,ывать,1а
858,аться,1а
859,ихать,1а
860,аться,1а
861,ивать,1а
862,аться,1а
863,аться,2а
864,аться,1а
865,ывать,1а
866,ясать,6а
867,аться,6а
868,ывать,1а
869,ывать,1а
870,ивать,1а
871,овать,2а
872,лнять,1а
873,яться,1а
874,овать,2а
875,овать,2а
876,евать,1а
877,отеть,1а
878,евать,1а
879,преть,1а
880,ывать,1а
881,аться,1а
882,ивать,1а
883,скать,1а
884,ягать,1а
885,аться,1а
886,ядать,1а
887,ивать,1а
888,скать,1а
889,утать,1а
890,аться,1а
891,ывать,1а
892,аться,1а
893,ивать,1а
894,аться,1а
895,ытать,1а
896,ывать,1а
897,ивать,1а
898,аться,1а
899,стать,1а
900,овать,2а
901,аться,2а
902,ывать,1а
903,аться,1а
904,убать,1а
905,угать,1а
906,аться,1а
907,ивать,1а
908,учать,1а
909,аться,1а
910,ывать,1а
911,ывать,1а
912,аться,1а
913,аться,1а
914,ивать,1а
915,ивать,1а
916,аться,1а
917,аться,1а
918,атать,1а
919,ывать,1а
920,евать,2а
921,ивать,1а
922,аться,1а
923,екать,1а
924,аться,1а
925,елять,1а
926,яться,1а
927,ивать,1а
928,аться,1а
929,азать,6а
930,аться,6а
931,ывать,1а
932,аться,1а
933,ивать,1а
934,ивать,1а
935,ивать,1а
936,аться,1а
937,ушать,1а
938,ивать,1а
939,ивать,1а
940,меять,6а
941,яться,6а
942,ркать,1а
943,аться,1а
944,ывать,1а
945,аться,1а
946,ичать,1а
947,евать,1а
948,спеть,1а
949,ивать,1а
950,ивать,1а
951,ирать,1а
952,ывать,1а
953,адать,1а
954,ивать,1а
955,ивать,1а
956,елять,1а
957,игать,1а
958,укать,1а
959,ивать,1а
960,упать,1а
961,ывать,1а
962,ивать,1а
963,аться,1а
964,ивать,1а
965,аться,1а
966,итать,1а
967,ывать,1а
968,ылать,1а
969,ыпать,1а
970,аться,1а
971,аться,1а
972,ыхать,1а
973,ивать,1а
974,ивать,1а
975,ывать,1а
976,аться,1а
977,ивать,1а
978,аться,1а
979,скать,1а
980,ивать,1а
981,ивать,1а
982,овать,2а
983,аться,2а
984,ачать,1а
985,таять,6а
986,орять,1а
987,яться,1а
988,екать,1а
989,снять,1а
990,ывать,1а
991,ирать,1а
992,аться,1а
993,овать,2а
994,ывать,1а
995,ивать,1а
996,овать,2а
997,ывать,1а
998,овать,2а
999,ывать,1а
1000,скать,1а
1001,ивать,1а
1002,аться,1а
1003,ивать,1а
1004,ягать,1а
1005,ивать,1а
1006,аться,1а
1007,ивать,1а
1008,аться,1а
1009,ркать,1а
1010,яться,1а
1011,ывать,1а
1012,аться,1а
1013,ивать,1а
1014,апать,1а
1015,апать,1а
1016,аться,1а
1017,ывать,1а
1018,аться,1а
1019,ивать,1а
1020,ивать,1а
1021,рпать,1а
1022,ывать,1а
1023,аться,1а
1024,слять,1а
1025,итать,1а
1026,итать,1а
1027,ывать,1а
1028,ихать,1а
1029,аться,1а
1030,енять,1а
1031,агать,1а
1032,ивать,1а
1033,ивать,1а
1034,ивать,1а
1035,ркать,1а
1036,ивать,1а
1037,ырять,1а
1038,ивать,1а
1039,аться,1а
1040,ибать,1а
1041,ивать,1а
1042,овать,2а
1043,ывать,1а
1044,ивать,1а
1045,ивать,1а
1046,ивать,1а
1047,ырять,1а
1048,ивать,1а
1049,ивать,1а
1050,ивать,1а
1051,ипать,1а
1052,упать,1а
1053,ывать,1а
1054,снять,1а
1055,яться,1а
1056,якать,1а
1057,вкать,1а
1058,адать,1а
1059,ичать,1а
1060,овать,2а
1061,овать,2а
1062,овать,2а
1063,овать,2а
1064,ркать,1а
1065,овать,2а
1066,евать,2а
1067,овать,2а
1068,ивать,1а
1069,овать,2а
1070,овать,2а
1071,ичать,1а
1072,овать,2а
1073,овать,2а
1074,икать,1а
1075,овать,2а
1076,овать,2а
1077,овать,2а
1078,олать,6а
1079,азеть,1а
1080,одать,1а
1081,отать,1а
1082,упеть,1а
1083,евать,2а
1084,аться,1а
1085,аться,2а
1086,аться,1а
1087,ивать,1а
1088,оветь,1а
1089,одать,1а
1090,овать,2а
1091,убеть,1а
1092,ичать,1а
1093,онять,1а
1094,яться,1а
1095,опать,1а
1096,атеть,1а
1097,евать,2а
1098,овать,2а
1099,евать,2а
1100,овать,2а
1101,аться,2а
1102,стать,1а
1103,овать,2а
1104,аться,2а
1105,овать,2а
1106,раять,6а
1107,ичать,1а
1108,ичать,1а
1109,овать,2а
1110,аться,2а
1111,овать,2а
1112,ыхать,1а
1113,охать,1а
1114,аться,1а
1115,убеть,1а
1116,знеть,1а
1117,овать,2а
1118,овать,2а
1119,аться,2а
1120,тнеть,1а
1121,знеть,1а
1122,овать,2а
1123,укать,1а
1124,ивать,1а
1125,улять,1а
1126,мкать,1а
1127,стеть,1а
1128,мкать,1а
1129,ивать,1а
1130,ичать,1а
1131,аться,2а
1132,игать,1а
1133,игать,6а
1134,аться,6а
1135,аться,1а
1136,ичать,1а
1137,ичать,1а
1138,овать,2а
1139,овать,2а
1140,ывать,1а
1141,аться,1а
1142,овать,2а
1143,овать,2а
1144,елать,1а
1145,аться,1а
1146,ичать,1а
1147,ывать,1а
1148,овать,2а
1149,ргать,1а
1150,аться,1а
1151,енеть,1а
1152,рнеть,1а
1153,овать,2а
1154,овать,2а
1155,овать,2а
1156,еветь,1а
1157,яться,6а
1158,овать,2а
1159,ькать,1а
1160,аться,2а
1161,овать,2а
1162,овать,2а
1163,ичать,1а
1164,овать,2а
1165,овать,2а
1166,овать,2а
1167,овать,2а
1168,овать,2а
1169,ичать,1а
1170,евать,2а
1171,аться,2а
1172,егать,1а
1173,егать,1а
1174,аться,1а
1175,ивать,1а
1176,аться,1а
1177,ирать,1а
1178,аться,1а
1179,ывать,1а
1180,ывать,1а
1181,бреть,1а
1182,ивать,1а
1183,аться,1а
1184,овать,2а
1185,овать,2а
1186,ывать,1а
1187,аться,1а
1188,аться,1а
1189,ивать,1а
1190,ывать,1а
1191,ерять,1а
1192,яться,1а
1193,ешать,1а
1194,ивать,1а
1195,веять,6а
1196,ивать,1а
1197,аться,1а
1198,аться,1а
1199,влеть,1а
1200,аться,1а
1201,овать,2а
1202,аться,2а
1203,аться,2а
1204,аться,1а
1205,ивать,1а
1206,онять,1а
1207,онять,1а
1208,ызать,1а
1209,улять,1а
1210,яться,1а
1211,елать,1а
1212,ывать,1а
1213,ирать,1а
1214,умать,1а
1215,аться,1а
1216,ывать,1а
1217,аться,1а
1218,едать,1а
1219,зжать,1а
1220,ивать,1а
1221,аться,1а
1222,ывать,1а
1223,ивать,1а
1224,игать,1а
1225,аться,1а
1226,имать,1а
1227,инать,1а
1228,ирать,1а
1229,олять,1а
1230,яться,1а
1231,овать,2а
1232,аться,1а
1233,евать,1а
1234,зреть,1а
1235,грать,1а
1236,аться,1а
1237,ирать,1а
1238,ывать,1а
1239,апать,1а
1240,ывать,1а
1241,ывать,1а
1242,аться,1а
1243,аться,1а
1244,атать,1а
1245,аться,1а
1246,ывать,1а
1247,ывать,1а
1248,аться,1а
1249,аться,1а
1250,идать,1а
1251,ывать,1а
1252,ывать,1а
1253,исать,1а
1254,ывать,1а
1255,аться,1а
1256,ывать,1а
1257,ивать,1а
1258,аться,6а
1259,аться,1а
1260,ывать,1а
1261,ылять,1а
1262,ивать,1а
1263,ивать,1а
1264,ывать,1а
1265,упать,1а
1266,аться,1а
1267,учать,1а
1268,ушать,1а
1269,ивать,1а
1270,ывать,1а
1271,лбать,1а
1272,езать,1а
1273,лжать,1а
1274,овать,2а
1275,ивать,1а
1276,аться,1а
1277,ывать,1а
1278,ивать,1а
1279,ерять,1а
1280,етать,1а
1281,етать,1а
1282,ешать,1а
1283,ивать,1а
1284,ивать,1а
1285,инать,1а
1286,овать,2а
1287,ичать,1а
1288,аться,1а
1289,ичать,1а
1290,ивать,1а
1291,аться,1а
1292,учать,1а
1293,аться,1а
1294,ывать,1а
1295,аться,1а
1296,ивать,1а
1297,овать,2а
1298,имать,1а
1299,овать,2а
1300,аться,1а
1301,аться,1а
1302,едать,1а
1303,ивать,1а
1304,ивать,1а
1305,ывать,1а
1306,ивать,1а
1307,аться,1а
1308,ывать,1а
1309,паять,1а
1310,евать,1а
1311,екать,1а
1312,аться,1а
1313,атать,1а
1314,ывать,1а
1315,ивать,1а
1316,аться,1а
1317,ывать,1а
1318,ивать,1а
1319,ывать,1а
1320,лнять,1а
1321,яться,1а
1322,аться,1а
1323,евать,1а
1324,преть,1а
